"Index","Question","Expected Answer","Source"
"11","Which regions have specific entity-specific employment policies documented?","Specific employment policies are documented for Germany (GmbH), Spain (Iberia s.r.l.), India (Private Limited), and Israel (Ltd.).","handbook/legal-and-corporate-affairs/entity-specific-information"
"12","What are the core topics included in the Channel Partner Program for developing a GitLab practice?","Core topics include the Channel Services Catalog, Marketing Development Funds, the Partner Champions Program, Partner Enablement, and Partner Technical Presales Enablement.","handbook/sales/channel-partner-program/developing-your-gitlab-practice"
"13","What areas of specialization exist within the Developer Relations Engineering team?","Specializations include the Code Contributor Program, Community pairing sessions, Core Team, Code Contributor User Journey, Community Hackathons, Notable Contributor Selection Process, Innovation Pitch Competition, Merge Request Coach Lifecycle, Metrics Dashboards, and Community Contributions Workflows.","handbook/marketing/developer-relations/developer-relations-engineering-team"
"14","What specific email processes are governed under Lifecycle Marketing?","Lifecycle Marketing governs Email Best Practices, Emails & Nurture Programs, and overall Emails Processes.","handbook/marketing/lifecycle-marketing"
"15","What are the designated tiers in the Marketing Technology Tiering System?","The tiering system categorizes marketing operations tools including 6sense, Marketo, Marketo Measure, Cognism, Iterable, PathFactory, Zoominfo, and Workato.","handbook/marketing/marketing-operations/marketing-technology-tiering-system"
"16","What onboarding structures are available for new hires via the People Group?","New hires are supported by GitLab Onboarding Buddies, Merge Request Buddies, and TaNewKi Tips.","handbook/people-group/gitlab-onboarding"
"17","What specialized capabilities are required for the UX Department's Experience Research methods?","Capabilities involve Analyzing survey verbatim, Comparative testing, Diary studies, Evaluating navigation, First click testing, Foundational research, Kano Surveys, Mental modeling, Preference testing, Problem validation, RITE testing, Usability benchmarking, and User story mapping.","handbook/product/ux-department/experience-research"
"18","What types of sales plays are utilized for CI/CD Go-To-Market strategies?","Go-To-Market strategies use sales plays such as Expand with Package, Infrastructure Automation with GitOps, the Upsell Premium to Ultimate message house, and the Upsell Premium to Ultimate sales play planner.","handbook/marketing/product-marketing/ci-cd-gtm-sales-plays"
"19","What specific device trust checks are mandated by Okta Security Policies?","The policies mandate Device Posture Checks specifically for Android, Chrome Device Trust, iOS, macOS, and Windows environments.","handbook/security/corporate-security/okta/okta-security-policies"
"20","Which support pods specialize in specific GitLab product areas?","Specialized pods include Advanced Search, AI, Authentication and Authorization, CI/CD, Code Contributions, Database, Documentation, Geo, GET, Git and Gitaly, Dedicated, Runner, Import, Integrations, Kubernetes, Licensing and Renewals, Performance and Reliability, Sec, Training, and Upgrade Support Pods.","handbook/support/support-pods"
"21","What are the various components of the laptop security configuration standards mandated during IT onboarding?","The laptop security configuration protocol includes setting up an Apple ID for Work, managing backups, ensuring disk encryption, enabling firewalls, restricting iCloud Drive, setting passwords, managing personal use, configuring remote management, updating software, enabling Touch ID, securing web browsers, managing wireless networks, locking unattended laptops, vendor management, and defining the wipe/factory reset process.","handbook/security-at-gitlab/corporate-security/gitlab-laptop-management/laptop-security-configuration-standards"
"22","Whats included in laptop sec config standards for IT onboarding?","The laptop security configuration protocol includes setting up an Apple ID for Work, managing backups, ensuring disk encryption, enabling firewalls, restricting iCloud Drive, setting passwords, managing personal use, configuring remote management, updating software, enabling Touch ID, securing web browsers, managing wireless networks, locking unattended laptops, vendor management, and defining the wipe/factory reset process.","handbook/security-at-gitlab/corporate-security/gitlab-laptop-management/laptop-security-configuration-standards"
"23","What are the varous componets of the laptop secrity configuration standards?","The laptop security configuration protocol includes setting up an Apple ID for Work, managing backups, ensuring disk encryption, enabling firewalls, restricting iCloud Drive, setting passwords, managing personal use, configuring remote management, updating software, enabling Touch ID, securing web browsers, managing wireless networks, locking unattended laptops, vendor management, and defining the wipe/factory reset process.","handbook/security-at-gitlab/corporate-security/gitlab-laptop-management/laptop-security-configuration-standards"
"24","How is the Snowflake data platform governed and optimized by the Enterprise Data Team?","The optimization involves Clustering in Snowflake, utilizing the Cortex AI Credit Monitoring System, and leveraging Snowflake AI Functions for Usage and Cost Management. It also includes configuring SNS integration for Snowflake SnowPipe, handling task failures, and executing Snowflake warehouse optimization.","handbook/enterprise-data-team/data-platform/snowflake-guide"
"25","What guidelines and rules govern the use and integration of AI functionalities from a legal perspective?","The Legal team governs these integrations using multiple versions of AI Functionality Terms, specifically V1 through V4. Additionally, they enforce the GitLab Duo AI Terms and align product development with the GitLab AI Ethics Principles.","handbook/legal-and-corporate-affairs/commercial-legal/ai-functionality-terms"
"26","What frameworks and tools are utilized by the Corporate Security End User Services for application provisioning?","They provision access through Google Workspace including Google Calendar, Google Groups, and Gmail, alongside tools like Reclaim.ai and Zoom. Furthermore, they support 1Password, Jamf MDM policies, and Okta device posture checks to ensure secure access control.","handbook/security/corporate-security/end-user-services"
"27","What are the required security configuration standards for corporate laptops managed by IT?","Configuration standards mandate the use of an Apple ID for Work, Laptop Backups, Disk Encryption, and Firewalls. The standards also require configuring iCloud Drive, Passwords, Remote Management and Monitoring, Software Updates, Touch ID Biometrics, and locking the laptop when unattended.","handbook/security/corporate-security/laptop-management"
"28","What operational responsibilities fall under the Vulnerability Management Team's standard procedures?","Their responsibilities include Closing Vulnerability Tracking Issues, tracking Development Labels, and managing the Vulnerability Lifecycle. They also focus on Vulnerability Management Automation, enforcing Code Review Standards, conducting Weekly Triage, and adhering to Vulnerability Resolution SLAs.","handbook/security/security-assurance/vulnerability-management"
"29","How does the Solutions Architecture Center of Excellence structure its technical discovery and proof of value initiatives?","The structure utilizes Demo Architect Offerings, Hands-on Workshops, and specific Proof of Value scopes. These scopes encompass Artificial Intelligence, Automated Software Delivery, DevOps Platform, DevSecOps, and Software Compliance, operated alongside standard RFI/RFP processes.","handbook/sales/solutions-architecture-center-of-excellence"
"30","What processes dictate the handling of software licensing and renewals for Self-Managed environments?","Workflows include managing cloud licensing and support exemptions, creating license keys for wider communities, and handling GCP Marketplace licenses. The team also handles flagged provisioning failures, multi-year subscriptions, and weekend emergencies regarding Self-Managed License Requests.","handbook/support/licensing-and-renewals/self-managed"
"31","What are the key stages of the Product Development Flow utilized by Product Management?","The primary stages involve Issue Triage, using Feature flags in development, applying Phase templates, and executing the Product Development Budgeting Process. It also necessitates defining Roles and Responsibilities, ensuring R&D Interlock, and maintaining a Healthy Backlog.","handbook/product/product-development-flow"
"32","How is Field Operations structured to support Sales strategy and GTM enablement?","Field Operations is structured across Business Operations for Salesforce, Customer Success Operations tracking CSAT and Newsletters, and Gainsight Administration. It also includes Field Enablement for Go-To-Market motions, Sales Operations handling Deal Desks, and the Sales Strategy and Analytics division.","handbook/sales/field-operations"
"33","What are the foundational elements of the Engineering Career Framework across different seniority levels?","The career framework outlines progression from Intern and Associate, to Intermediate, Senior, Staff, Senior Staff, and Principal levels. It provides specific matrices for backend, frontend, fullstack, distribution, and Quality Department Software Engineers in Test.","handbook/engineering/career-framework"
"34","What strategies are employed by the Threat Management and Security Incident Response teams?","The teams employ Red Teaming tactics including Rules of Engagement, Stealth Operations, and Opportunistic Attacks. They also utilize Purple Teaming, Threat Intelligence, Critical Logging Tiering, and maintain a Security Incident Communications Plan alongside a Severity Matrix.","handbook/security/threat-management"
"35","What structured learning and development programs are available through the People Group's Talent Development initiatives?","The initiatives offer Individual Growth Plans, the Elevate program suite, and access to the Growth and Development Fund. Additional programs include the Hone Partnership, Internships for Learning, LevelUp, Mentoring at GitLab, and guidance for Transitioning to a manager role.","handbook/people-group/talent-development"
"36","How do the responsibilities of the Database Excellence Stage in Engineering intersect with the Data Governance policies in the Enterprise Data Team?","The Database Excellence Stage manages underlying database architecture, automation, framework, and operations (like PostgreSQL and partitioning) from an engineering perspective, while the Enterprise Data Team's Data Governance strictly manages internal data quality, stewardship practices, the enterprise data catalog, and business incident management to ensure reliability.","handbook/engineering/data-engineering-and-monetization/database-excellence-stage, handbook/enterprise-technology-and-ai/enterprise-data/data-governance"
"37","How does Database Excellence Stage overlap w/ Data Governance?","The Database Excellence Stage manages underlying database architecture, automation, framework, and operations (like PostgreSQL and partitioning) from an engineering perspective, while the Enterprise Data Team's Data Governance strictly manages internal data quality, stewardship practices, the enterprise data catalog, and business incident management to ensure reliability.","handbook/engineering/data-engineering-and-monetization/database-excellence-stage, handbook/enterprise-technology-and-ai/enterprise-data/data-governance"
"38","How do the responsibilites of the Databse Excellence Stage in Engineering intersect with Data Governance policies?","The Database Excellence Stage manages underlying database architecture, automation, framework, and operations (like PostgreSQL and partitioning) from an engineering perspective, while the Enterprise Data Team's Data Governance strictly manages internal data quality, stewardship practices, the enterprise data catalog, and business incident management to ensure reliability.","handbook/engineering/data-engineering-and-monetization/database-excellence-stage, handbook/enterprise-technology-and-ai/enterprise-data/data-governance"
"39","What is the connection between Engineering's Database Excellence Stage and Enterprise Data's Governance policies?","The Database Excellence Stage manages underlying database architecture, automation, framework, and operations (like PostgreSQL and partitioning) from an engineering perspective, while the Enterprise Data Team's Data Governance strictly manages internal data quality, stewardship practices, the enterprise data catalog, and business incident management to ensure reliability.","handbook/engineering/data-engineering-and-monetization/database-excellence-stage, handbook/enterprise-technology-and-ai/enterprise-data/data-governance"
"40","How is incident communication handled cross-functionally between the Corporate Communications team and the Infrastructure Incident Management team?","During Tier 1 or Tier 2 escalations, the Infrastructure Incident Management team assigns a specific Communications Lead. This lead coordinates with the Corporate Communications department utilizing the GitLab Incident Communications Plan to ensure that external messaging accurately reflects the incident's severity.","handbook/engineering/infrastructure/incident-management, handbook/marketing/corporate-communications"
"41","How do the localization strategies of the Digital Experience team impact the Developer Relations content workflows?","The Digital Experience team sets the foundation by managing Localization best practices, Internationalization (i18n), and the Decap CMS. The Developer Relations team relies on this technical infrastructure when managing Community Contributions, facilitating forum workflows, and curating localized content requests.","handbook/marketing/digital-experience, handbook/marketing/developer-relations"
"42","What is the operational overlap between the Support Team's Licensing & Renewals workflows and the Deal Desk's order management processes?","The Support Team actively troubleshoots CustomersDot errors, subscription reconciliations, and provisioning failures. Simultaneously, the Deal Desk within Sales Operations manages the commercial side by setting PO Acceptance Criteria, processing Sales Orders, and configuring Dynamic Quote Templates in Salesforce.","handbook/support/licensing-and-renewals, handbook/sales/field-operations/sales-operations"
"43","How does the Financial Planning & Analysis team's headcount metrics influence the hiring processes within the Talent Acquisition handbook?","The FP&A team is responsible for defining Headcount Metrics, FP&A Processes, and P&L Allocation. These financial frameworks dictate the budget approvals required before Talent Acquisition can proceed with Internal Hiring Processes, Referral Operations, and candidate interviews.","handbook/finance/financial-planning-and-analysis, handbook/people-group/hiring-and-talent-acquisition"
"44","What collaboration exists between the Application Security Testing group and the CI/CD Pipeline Support Pod when troubleshooting vulnerability scans?","The Application Security Testing group creates rules and utilizes Dynamic and Static Analysis Runbooks for security scanners. The CI/CD Support Pod leverages this documentation while assisting customers to investigate blocked pipelines, adjust Pipeline minute limits, and configure GitLab CI/CD components securely.","handbook/engineering/sec-section/application-security-testing, handbook/support/support-pods/ci-cd"
"45","How does the Data Privacy Addendum policy managed by Legal affect the Support Team's Account Deletion workflows?","The Legal team defines the terms for Personal Data Requests, EU Data Act compliance, and Data Processing Addendums. The Support Team strictly implements these legal guidelines when executing Account Deletion & Data Access Requests, processing signed DPAs, and managing Restoring Deleted Data Requests.","handbook/legal-and-corporate-affairs/privacy, handbook/support/support-workflows"
"46","What is the exact hourly billing rate for a Senior Consultant engaged through the Professional Services Delivery Methodology?","The handbook does not publicly disclose the exact hourly billing rates for individual consultant tiers, but it does list the Professional Services Pre-Sales Methodology and PS Standard SKUs without specific pricing attached.",""
"47","Which specific third-party vendor was selected for providing the catering services at the most recent E-Group Offsite meeting?","The handbook details the existence of E-Group offsites and provides an Event Planning Guide, but it does not document the specific catering vendors utilized for past leadership meetings.",""
"48","How many total lines of code are currently stored in the gitlab.com SaaS primary production database?","The handbook outlines the Database Architecture, CI pipelines, and repository management protocols, but it does not track or publish real-time volumetric data such as the exact number of lines of code currently hosted on GitLab.com.",""
"49","What is the exact monetary budget allocated for the Marketing Department's Search Engine Optimization campaigns for FY24?","No exact monetary budget for SEO campaigns is publicly listed in the handbook. However, the handbook does detail the existence of the Marketing Department Efficiency Working Group for FY24, Team Budgets managed under Developer Relations, and the overall GitLab SEO strategy framework.","handbook/marketing/inbound-marketing/search-marketing"
"50","Does GitLab's Anti-Retaliation Policy guarantee that an underperforming employee cannot be fired if they file a complaint against their manager?","The handbook does not explicitly guarantee immunity from termination for performance reasons after filing a complaint. However, it outlines the Anti-Retaliation Policy and Whistleblowing at GitLab to protect team members, while separately documenting procedures for Leadership Underperformance and Team Member Relations.","handbook/legal-and-corporate-affairs/policies/anti-retaliation-policy"
